### Module positions - created on 2026-01-28 11:05
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
U7            DRV8871DDA          Texas_HTSOP-8-1EP_3.9x4.9mm.. 193.8500   -80.6200   190.9750   -78.7150      0.0    top       SMD
U6            DRV8871DDA          Texas_HTSOP-8-1EP_3.9x4.9mm.. 193.8500   -73.9800   190.9750   -72.0750      0.0    top       SMD
U5            DRV8871DDA          Texas_HTSOP-8-1EP_3.9x4.9mm.. 193.8500   -67.3400   190.9750   -65.4350      0.0    top       SMD
U4            DRV8871DDA          Texas_HTSOP-8-1EP_3.9x4.9mm.. 193.8500   -60.7000   190.9750   -58.7950      0.0    top       SMD
U3            DRV8871DDA          Texas_HTSOP-8-1EP_3.9x4.9mm.. 181.3500   -45.3000   178.4750   -43.3950      0.0    top       SMD
U2            AMS1117-3.3         SOT-223-3_TabPin2             140.5300   -88.3550   137.3800   -86.0550      0.0    top       SMD
U1            ESP32-S3-WROOM-1    ESP32-S3-WROOM-1              136.4100   -62.3300   127.6600   -57.0700      0.0    top       SMD
R20           220R                R_0805_2012Metric             163.0200   -89.5800   162.1075   -89.5800      0.0    top       SMD
R19           220R                R_0805_2012Metric             163.0200   -86.6300   162.1075   -86.6300      0.0    top       SMD
R18           30k                 R_0805_2012Metric             163.0200   -83.6800   162.1075   -83.6800      0.0    top       SMD
R17           220R                R_0805_2012Metric             163.0200   -80.7300   162.1075   -80.7300      0.0    top       SMD
R16           220R                R_0805_2012Metric             163.0200   -77.7800   162.1075   -77.7800      0.0    top       SMD
R15           30k                 R_0805_2012Metric             158.6100   -89.5800   157.6975   -89.5800      0.0    top       SMD
R14           220R                R_0805_2012Metric             158.6100   -86.6300   157.6975   -86.6300      0.0    top       SMD
R13           220R                R_0805_2012Metric             158.6100   -83.6800   157.6975   -83.6800      0.0    top       SMD
R12           30k                 R_0805_2012Metric             158.6100   -80.7300   157.6975   -80.7300      0.0    top       SMD
R11           220R                R_0805_2012Metric             158.6100   -77.7800   157.6975   -77.7800      0.0    top       SMD
R10           220R                R_0805_2012Metric             154.2000   -89.5800   153.2875   -89.5800      0.0    top       SMD
R9            30k                 R_0805_2012Metric             154.2000   -86.6300   153.2875   -86.6300      0.0    top       SMD
R8            330                 R_0805_2012Metric             154.2000   -83.6800   153.2875   -83.6800      0.0    top       SMD
R7            220R                R_0805_2012Metric             154.2000   -80.7300   153.2875   -80.7300      0.0    top       SMD
R6            220R                R_0805_2012Metric             154.2000   -77.7800   153.2875   -77.7800      0.0    top       SMD
R5            30k                 R_0805_2012Metric             149.7900   -89.5800   148.8775   -89.5800      0.0    top       SMD
R4            5.1k                R_0805_2012Metric             149.7900   -86.6300   148.8775   -86.6300      0.0    top       SMD
R3            5.1k                R_0805_2012Metric             149.7900   -83.6800   148.8775   -83.6800      0.0    top       SMD
R2            100R                R_0805_2012Metric             149.7900   -80.7300   148.8775   -80.7300      0.0    top       SMD
R1            10k                 R_0805_2012Metric             149.7900   -77.7800   148.8775   -77.7800      0.0    top       SMD
J8            OLLED I2C           Molex_KK-254_AE-6410-04A_1x.. 149.8800   -95.0000   149.8800   -95.0000      0.0    top       THD
J7            MotorF              Molex_KK-254_AE-6410-02A_1x.. 142.7400   -80.2500   142.7400   -80.2500      0.0    top       THD
J6            MotorE              Molex_KK-254_AE-6410-02A_1x.. 135.6000   -80.2500   135.6000   -80.2500      0.0    top       THD
J5            MotorC              Molex_KK-254_AE-6410-02A_1x.. 128.4600   -80.2500   128.4600   -80.2500      0.0    top       THD
J4            MotorB              Molex_KK-254_AE-6410-02A_1x.. 121.3200   -80.2500   121.3200   -80.2500      0.0    top       THD
J3            MotorA              Molex_KK-254_AE-6410-02A_1x.. 114.1800   -80.2500   114.1800   -80.2500      0.0    top       THD
