Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
"BOOT1, EN1",SW_Push_SPST_NO_Alps_SKRK,2,SW_SPST,C49234124
C1,0805,1,10uf,C15850
"C10, C11, C13, C14, C16, C17, C19, C20, C3, C6, C7, C8",0805,12,100nF,C519981
"C12, C15, C18, C21, C9",CP_Elec_6.3x5.4,5,47uF,C7469965
"C2, C4",0805,2,22uf,C602037
C5,0805,1,1uf,C116352
D1,0603,1,LED,C965799
D2,0603,1,LED,C965807
J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C,C2988369
"R1, R10, R11, R18, R19, R2, R23, R24, R28, R29, R3, R33, R34, R38, R39, R4, R5, R6, R7, R8, R9",0805,21,1k,C2907232
R12,0805,1,100R,C17408
"R13, R21, R26, R31, R36, R41",0805,6,10k,
"R14, R15",0805,2,5.1k,C27834
R16,0805,1,330,C2930157
"R17, R22, R27, R32, R37",1206,5,0.2,C44051
"R20, R25, R30, R35, R40",0805,5,80k,C2960781
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913198
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
"U3, U4, U5, U6, U7",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,5,DRV8870DDA,C86590
