Designator,Mid X,Mid Y,Rotation,Layer
_2,179.0,-86.25,0.0,top
,101.5,-129.0,0.0,top
- 12V +,102.25,-120.75,270.0,top
- 3.3V +,102.25,-111.75,270.0,top
BOOT,101.5,-105.0,180.0,top
C1,109.75,-100.5,90.0,top
C10,125.75,-107.8875,270.0,top
C11,127.75,-122.15,270.0,top
C12,125.5,-115.025,270.0,top
C13,140.2,-108.0125,270.0,top
C14,142.5,-121.725,270.0,top
C15,140.2,-115.0,270.0,top
C16,154.95,-107.9125,270.0,top
C17,157.45,-121.75,270.0,top
C18,154.95,-114.8,270.0,top
C19,169.25,-107.8125,270.0,top
C2,120.75,-86.15,90.0,top
C20,171.5,-121.25,270.0,top
C21,169.25,-114.45,270.0,top
C22,110.75,-106.25,180.0,top
C23,118.25,-86.15,90.0,top
C3,113.25,-86.15,90.0,top
C4,115.75,-86.15,90.0,top
C5,108.25,-90.0,270.0,top
C6,108.25,-86.13,270.0,top
C7,116.25,-108.75,180.0,top
C8,113.25,-122.225,270.0,top
C9,111.0,-114.8,270.0,top
D1,111.9625,-92.25,180.0,top
D2,116.25,-92.25,0.0,top
D3,106.5,-121.5,90.0,top
EN,101.5,-90.5,180.0,top
J1,159.75,-86.5,180.0,top
J10,176.095,-127.075,0.0,top
J3,176.5,-97.0,90.0,top
J5,100.5,-97.75,270.0,top
J6,117.795,-127.225,0.0,top
J7,132.345,-127.05,0.0,top
J8,147.045,-127.175,0.0,top
J9,161.795,-127.075,0.0,top
R1,167.75,-100.25,180.0,top
R10,149.5,-90.75,270.0,top
R11,111.9625,-89.75,180.0,top
R12,106.0,-86.11,90.0,top
R13,110.75,-86.15,90.0,top
R14,108.25,-93.75,90.0,top
R15,107.25,-100.52,270.0,top
R16,116.375,-89.75,0.0,top
R17,118.45,-122.125,270.0,top
R18,121.25,-107.9075,270.0,top
R19,119.25,-107.9075,90.0,top
R2,161.75,-100.25,180.0,top
R20,120.25,-103.75,180.0,top
R21,116.25,-103.75,180.0,top
R22,133.0,-122.2,270.0,top
R23,133.8,-107.9075,270.0,top
R24,131.3,-107.9075,90.0,top
R25,123.5,-107.9075,90.0,top
R26,128.1,-107.9075,270.0,top
R27,147.7,-122.325,270.0,top
R28,148.5,-108.0325,270.0,top
R29,146.0,-108.0325,90.0,top
R3,150.0,-100.25,180.0,top
R30,137.7,-108.0325,90.0,top
R31,142.7,-108.0325,270.0,top
R32,162.45,-122.225,270.0,top
R33,163.25,-107.9325,270.0,top
R34,160.75,-107.9325,90.0,top
R35,152.45,-107.9325,90.0,top
R36,157.45,-107.9325,270.0,top
R37,176.6,-122.125,270.0,top
R38,177.8,-107.8325,270.0,top
R39,175.3,-107.8325,90.0,top
R4,154.25,-100.25,180.0,top
R40,166.75,-107.8325,90.0,top
R41,171.75,-107.8325,270.0,top
R5,154.25,-97.75,180.0,top
R6,154.25,-95.25,180.0,top
R7,155.0,-90.75,270.0,top
R8,152.25,-90.75,270.0,top
R9,146.5,-90.75,90.0,top
U1,133.6,-88.94,0.0,top
U2,116.0,-98.6,180.0,top
U3,117.75,-114.625,270.0,top
U4,132.3,-114.85,270.0,top
U5,147.0,-114.825,270.0,top
U6,161.75,-114.625,270.0,top
U7,176.05,-114.275,270.0,top
